Time , 13:44:15,  [Data], VOL 0
Time , 13:44:16,  [Data], DPM 0
Time , 13:44:16,  [Data], NEP 0
Time , 13:44:16,  [Data], ISDN 0
Time , 13:44:18,  [Data], VOL 0
Time , 13:44:18,  [Data], DPM 0
Time , 13:44:18,  [Data], NEP 0
Time , 13:44:18,  [Data], ISDN 0
Time , 13:44:20,  [Data], VOL 0
Time , 13:44:20,  [Data], DPM 0
Time , 13:44:20,  [Data], NEP 0
Time , 13:44:20,  [Data], ISDN 0
Time , 13:44:22,  [Data], VOL 0
Time , 13:44:22,  [Data], DPM 0
Time , 13:44:22,  [Data], NEP 0
Time , 13:44:22,  [Data], ISDN 0
Time , 13:44:24,  [Data], VOL 0
Time , 13:44:24,  [Data], DPM 0
Time , 13:44:24,  [Data], NEP 0
Time , 13:44:24,  [Data], ISDN 0
Time , 13:44:26,  [Data], VOL 0
Time , 13:44:26,  [Data], DPM 0
Time , 13:44:26,  [Data], NEP 0
Time , 13:44:26,  [Data], ISDN 0
Time , 13:44:28,  [Data], VOL 0
Time , 13:44:28,  [Data], DPM 0
Time , 13:44:28,  [Data], NEP 0
Time , 13:44:28,  [Data], ISDN 0
Time , 13:44:30,  [Data], VOL 0
Time , 13:44:30,  [Data], DPM 0
Time , 13:44:30,  [Data], NEP 0
Time , 13:44:30,  [Data], ISDN 0
Time , 13:44:32,  [Data], VOL 0
Time , 13:44:32,  [Data], DPM 0
Time , 13:44:32,  [Data], NEP 0
Time , 13:44:32,  [Data], ISDN 0
Time , 13:44:34,  [Data], VOL 0
Time , 13:44:34,  [Data], DPM 0
Time , 13:44:34,  [Data], NEP 0
Time , 13:44:34,  [Data], ISDN 0
Time , 13:44:36,  [Data], VOL 0
Time , 13:44:36,  [Data], DPM 0
Time , 13:44:36,  [Data], NEP 0
Time , 13:44:36,  [Data], ISDN 0
Time , 13:44:38,  [Data], VOL 0
Time , 13:44:38,  [Data], DPM 0
Time , 13:44:38,  [Data], NEP 0
Time , 13:44:38,  [Data], ISDN 0
Time , 13:44:40,  [Data], VOL 0
Time , 13:44:40,  [Data], DPM 0
Time , 13:44:40,  [Data], NEP 0
Time , 13:44:40,  [Data], ISDN 0
Time , 13:44:42,  [Data], VOL 0
Time , 13:44:42,  [Data], DPM 0
Time , 13:44:42,  [Data], NEP 0
Time , 13:44:42,  [Data], ISDN 0
Time , 13:44:44,  [Data], VOL 0
Time , 13:44:44,  [Data], DPM 0
Time , 13:44:44,  [Data], NEP 0
Time , 13:44:44,  [Data], ISDN 0
Time , 13:44:46,  [Data], VOL 0
Time , 13:44:46,  [Data], DPM 0
Time , 13:44:46,  [Data], NEP 0
Time , 13:44:46,  [Data], ISDN 0
Time , 13:44:48,  [Data], VOL 0
Time , 13:44:48,  [Data], DPM 0
Time , 13:44:48,  [Data], NEP 0
Time , 13:44:48,  [Data], ISDN 0
Time , 13:44:50,  [Data], VOL 0
Time , 13:44:50,  [Data], DPM 0
Time , 13:44:50,  [Data], NEP 0
Time , 13:44:50,  [Data], ISDN 0
Time , 13:44:52,  [Data], VOL 0
Time , 13:44:52,  [Data], DPM 0
Time , 13:44:52,  [Data], NEP 0
Time , 13:44:52,  [Data], ISDN 0
Time , 13:44:54,  [Data], VOL 0
Time , 13:44:54,  [Data], DPM 0
Time , 13:44:54,  [Data], NEP 0
Time , 13:44:54,  [Data], ISDN 0
Time , 13:44:56,  [Data], VOL 0
Time , 13:44:56,  [Data], DPM 0
Time , 13:44:56,  [Data], NEP 0
Time , 13:44:56,  [Data], ISDN 0
Time , 13:44:58,  [Data], VOL 0
Time , 13:44:58,  [Data], DPM 0
Time , 13:44:58,  [Data], NEP 0
Time , 13:44:58,  [Data], ISDN 0
Time , 13:45:00,  [Data], VOL 0
Time , 13:45:00,  [Data], DPM 0
Time , 13:45:00,  [Data], NEP 0
Time , 13:45:00,  [Data], ISDN 0
Time , 13:45:02,  [Data], VOL 0
Time , 13:45:02,  [Data], DPM 0
Time , 13:45:02,  [Data], NEP 0
Time , 13:45:02,  [Data], ISDN 0
Time , 13:45:04,  [Data], VOL 0
Time , 13:45:04,  [Data], DPM 0
Time , 13:45:04,  [Data], NEP 0
Time , 13:45:04,  [Data], ISDN 0
Time , 13:45:06,  [Data], VOL 0
Time , 13:45:06,  [Data], DPM 0
Time , 13:45:06,  [Data], NEP 0
Time , 13:45:06,  [Data], ISDN 0
Time , 13:45:08,  [Data], VOL 0
Time , 13:45:08,  [Data], DPM 0
Time , 13:45:08,  [Data], NEP 0
Time , 13:45:08,  [Data], ISDN 0
Time , 13:45:10,  [Data], VOL 0
