Time , 13:46:50,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:52,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:54,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:56,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:46:58,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:00,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:02,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:04,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:06,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:08,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:10,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:12,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:14,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:16,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:18,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:20,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:22,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:24,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:26,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:28,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:30,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:32,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:34,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:36,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:38,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:40,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:42,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:44,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:46,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:48,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:50,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:52,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:54,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:56,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:47:58,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:48:00,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:48:02,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:48:04,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:48:06,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:48:08,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:48:10,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:48:12,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:48:14,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:48:16,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:48:18,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:48:20,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:48:22,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
Time , 13:48:24,  [Data], 	Inputs:106.701 2.02668 2.04631 51.1526 	Outputs:0 0 0 0 
